parameter,value,comment
# COMPOSITE TREND SCORE WEIGHTS,,Trend_score = weighted blend of 4 components. Weights renormalize over whatever is available on a bar.
trend_w_ema,0.35,"EMA ribbon: price location + stacking + slope. The smoothest, laggiest view."
trend_w_supertrend,0.25,Supertrend: direction plus distance from the line. Volatility-anchored.
trend_w_adx,0.2,ADX strength SIGNED by DI direction. Raw ADX is directionless.
trend_w_structure,0.2,Market structure: HH+HL vs LH+LL swing sequence. Discrete price action.
,,
# TREND SUB-SCORE CALIBRATION,,How each raw indicator maps onto the shared 0-100 scale.
trend_st_saturate_pct,6.0,ST_dist_pct treated as fully extended. Median on daily equities ~5pct.
trend_adx_saturate,32.0,ADX treated as a fully developed trend. Textbook 40 is too high for daily NSE data.
trend_adx_floor,15.0,ADX below this = chop; the ADX sub-score stays at 50 instead of voting.
,,
# TREND BANDS AND GATING,,Cut points for Trend_band and the minimum evidence required.
trend_band_strong_bull,75.0,Trend_score at or above this reads Strong Bull.
trend_band_bull,60.0,Trend_score at or above this reads Bull.
trend_band_neutral,40.0,Trend_score at or above this reads Neutral.
trend_band_bear,25.0,Trend_score at or above this reads Bear; below it Strong Bear.
trend_agree_min,3,Components on the same side of 50 before agreement is confirmed vs mixed.
trend_min_components,3,Components required before Trend_score is emitted at all.
,,
,,
# COMPOSITE MOMENTUM SCORE WEIGHTS,,Momentum_score = weighted blend of 4 components. Note these correlate 0.8-0.9 with each other.
mom_w_rsi,0.30,RSI: normalized recent gains vs losses. Correlates ~0.9 with Stoch.
mom_w_roc,0.30,ROC: raw rate of change over the headline horizon.
mom_w_macd,0.25,MACD histogram: acceleration. The only component measuring something different.
mom_w_stoch,0.15,Stochastic pctK: position in recent range. Noisiest of the four.
,,
# MOMENTUM SUB-SCORE CALIBRATION,,How each raw indicator maps onto the shared 0-100 scale.
mom_macd_z_sat,2.0,MACD_hist_z treated as fully extended before the tanh squash.
mom_stoch_damp,0.80,Pulls pctK toward 50; below 1 damps the noisiest component.
,,
# MOMENTUM BANDS AND GATING,,Cut points for Momentum_band and minimum evidence required.
mom_band_strong_bull,70.0,Momentum_score at or above this reads Strong Bullish.
mom_band_bull,58.0,Momentum_score at or above this reads Bullish.
mom_band_neutral,42.0,Momentum_score at or above this reads Neutral.
mom_band_bear,30.0,At or above this reads Bearish; below it Strong Bearish.
mom_agree_min,3,Components on the same side of 50 before agreement is confirmed.
mom_min_components,3,Components required before Momentum_score is emitted at all.
mom_extreme_rsi_hi,70.0,RSI at or above this plus Stoch overbought = flagged stretched.
mom_extreme_rsi_lo,30.0,RSI at or below this plus Stoch oversold = flagged stretched.
,,
# COMPOSITE VOLATILITY SCORE WEIGHTS,,"DIRECTIONLESS: 0=compressed, 100=expanded. NOT bearish-to-bullish. Never rank direction on this."
vol_w_bb,0.30,"Bollinger bandwidth percentile. Close-based, ignores gaps."
vol_w_atr,0.30,"ATR percentile. True-range based, so it reacts to overnight gaps."
vol_w_donchian,0.20,Donchian width percentile. Tracks BB closely (corr ~0.93).
vol_w_keltner,0.20,Keltner width percentile. Tracks ATR closely (corr ~0.96) - it IS ATR based.
,,
# VOLATILITY CALIBRATION AND BANDS,,All components ranked over the SAME window or the blend is incoherent.
vol_width_pctl_win,252,"Shared percentile window. BB is re-ranked here, not reusing bb_squeeze_win."
vol_band_very_low,20.0,Volatility_score below this reads Very Low.
vol_band_low,40.0,Below this reads Low.
vol_band_high,60.0,At or above this reads High.
vol_band_very_high,80.0,At or above this reads Very High.
vol_min_components,3,Components required before Volatility_score is emitted.
vol_squeeze_min,2,"Squeeze-capable components (BB, Keltner) that must agree for Confirmed."
vol_expansion_lb,10,Lookback for the expanding/contracting classification.
vol_expansion_jump,20.0,Score rise over that lookback counting as genuine expansion.
vol_release_window,15,Bars after a squeeze in which expansion is still called a release.
# RELATIVE STRENGTH BENCHMARKS,,Index rows must also exist in symbols.csv with kind=index.
bench_symbols,"NIFTY50,NIFTY500","Raw CSV filename stems in raw/equity, comma separated."
bench_labels,"NIFTY50,NIFTY500","Prefixes used in field names, e.g. RS_NIFTY50_excess_pct."
